east|north|height|cat
132551.33526975|398700.01723573|1.00508467|1
132513.31517625|398610.66338461|0.88581458|1
132499.40023443|398514.10311033|0.56082021|1
132491.58533695|398417.10085405|0.6142015|1
132468.32325912|398320.67679526|0.63663798|1
132432.23455272|398228.66177548|0.16721283|1
132401.12578527|398154.82971742|0.26451619|1
132387.0081859|398058.53292766|0.17585036|1
132398.48099238|397961.15635039|0.11659705|1
132424.3609562|397867.31627236|-0.06290399|1
132450.11357166|397772.43040856|-0.12861714|1
132459.89621594|397674.92327257|-0.1834329|1
132461.21002864|397576.13938965|-0.12672351|1
132458.61522471|397478.32209864|-0.20814191|1
132450.22707991|397403.01189608|-0.48750747|1
132432.72762824|397306.59454439|-0.32751274|1
132420.61218579|397207.87843323|-0.29458903|1
132439.51701204|397124.58027149|-0.32772189|1
132534.88231428|397101.92756351|0.20799221|1
132631.89334581|397079.34014903|0.27951444|1
132728.22542227|397058.27598273|0.36555514|1
132823.39071062|397036.37892585|0.15836096|1
132919.16227239|397010.96586997|0.09692331|1
133014.55774806|396988.69989669|0.52608187|1
133111.67488795|396968.76898622|0.65452408|1
133209.36940117|396959.26336563|0.56937075|1
133267.3341959|396966.31653597|0.3821803|1
